Date,Price,Change
1/31/2016,$2.25,139.40%
2/29/2016,$6.44,186.20%
3/31/2016,$11.9,84.80%
4/30/2016,$9.31,-21.76%
5/31/2016,$14.00,50.40%
6/30/2016,$12.48,-10.86%
7/31/2016,$11.61,-6.97%
8/31/2016,$11.53,-0.69%
9/30/2016,$13.33,15.60%
10/31/2016,$11.18,-16.13%
11/30/2016,$8.54,-23.60%
12/31/2016,$7.96,-6.79%
1/31/2017,$10.66,33.90%
2/28/2017,$15.37,44.20%
3/31/2017,$47.72,210.50%
4/30/2017,$71.77,50.40%
5/31/2017,$230.25,221%
6/30/2017,$305.8,32.80%
7/31/2017,$198.7,-35%
8/31/2017,$382.25,92.40%
9/30/2017,$302.54,-20.85%
10/31/2017,$306.49,1.31%
11/30/2017,$408.71,33.35%
12/31/2017,$741.49,81.40%
1/31/2018,$1108.55,49.50%
2/28/2018,$872.34,-21.30%
3/31/2018,$403.11,-53.80%
4/30/2018,$684.46,69.80%
5/31/2018,$577.21,-15.67%
6/30/2018,$451.91,-21.70%
7/31/2018,$431.89,-4.43%
8/31/2018,$278.8,-35.45%
9/30/2018,$234.12,-16.03%
10/31/2018,$198.34,-15.28%
11/30/2018,$113.28,-42.90%
12/31/2018,$137.52,21.40%
1/31/2019,$107.27,-22%
2/28/2019,$138.19,28.80%
3/31/2019,$141.24,2.21%
4/30/2019,$159.74,13.10%
5/31/2019,$258.55,61.90%
6/30/2019,$297.37,15%
7/31/2019,$217.31,-26.90%
8/31/2019,$169.13,-22.17%
9/30/2019,$177.92,5.20%
10/31/2019,$182.72,2.70%
11/30/2019,$152.65,-16.46%
12/31/2019,$131.24,-14.03%
1/31/2020,$179.52,36.80%
2/29/2020,$223.5,24.50%
3/31/2020,$133.67,-40.20%
4/30/2020,$210.67,57.60%
5/31/2020,$233.39,10.78%
6/30/2020,$226.56,-2.93%
7/31/2020,$343.8,42.90%
8/31/2020,$434.39,34.15%
9/30/2020,$357.43,-17.70%
10/31/2020,$389.99,9.11%
11/30/2020,$598.1,53.40%
12/31/2020,$736.5,23.14%
1/31/2021,$1312.49,78.20%
2/28/2021,$1308.28,-0.32%
3/31/2021,$1855.16,41.80%
4/30/2021,$2738.59,47.60%
5/31/2021,$2634.04,-3.82%
6/30/2021,$2100.52,-20.25%
7/31/2021,$2457.85,17%
8/31/2021,$3387.85,37.84%
9/30/2021,$2982.5,-11.96%
10/31/2021,$4226.02,41.70%
11/30/2021,$4640.6,9.81%
12/21/2021,$3783.67,-18.47%
1/31/2022,$2621.89,-30.70%
2/28/2022,$2806.19,7.03%
3/31/2022,$3353.84,19.50%
4/30/2022,$2816.83,-16%
5/31/2022,$1988.93,-29.40%
6/30/2022,$1030.01,-48.20%
7/31/2022,$1711.03,66.10%
8/31/2022,$1560.86,-8.78%
9/30/2022,$1351.17,-13.43%
